Group_code_code,Group_code,Group Size,Positive Prediction Rate,Demographic Parity Difference,Equal Opportunity Difference,Disparate Impact
1_1_NA," Asian-Pac-Islander,  Male, NA",133,0.12030075187969924,0.013591094271838036,-0.030076384468491424,1.12736517552875
2_0_NA," Black,  Female, NA",299,0.013377926421404682,-0.09333173118645652,0.05325694886484189,0.12536753206130746
2_1_NA," Black,  Male, NA",300,0.07,-0.0367096576078612,-0.030076384468491424,0.6559856115107914
2_NA_0," Black, NA, 25 - 45",327,0.03363914373088685,-0.07307051387697436,-0.023666128058235036,0.3152399181572173
2_NA_1," Black, NA, Greater than 45",162,0.08024691358024691,-0.026462744027614296,-0.010845615237722206,0.7520117239541699
4_0_NA," White,  Female, NA",1723,0.0742890307603018,-0.032420626847559406,-0.06309525239301972,0.6961790753120081
NA_0_0,"NA,  Female, 25 - 45",1003,0.047856430707876374,-0.05885322689998483,-0.08993553939806889,0.44847328518042995
NA_0_1,"NA,  Female, Greater than 45",573,0.15008726003490402,0.04337760242704282,0.0004114204095573837,1.4065011864853667
NA_0_2,"NA,  Female, Less than 25",550,0.0,-0.1067096576078612,-0.2800763844684914,0.0
4_1_NA," White,  Male, NA",3872,0.13352272727272727,0.02681306966486606,0.013509141847298067,1.2512712557226944
NA_1_0,"NA,  Male, 25 - 45",2250,0.12622222222222224,0.01951256461436103,-0.0012969115142612009,1.1828565947242207
NA_1_1,"NA,  Male, Greater than 45",1391,0.19626168224299065,0.08955202463512944,0.030554844767388956,1.8392119948900691
NA_1_2,"NA,  Male, Less than 25",746,0.005361930294906166,-0.10134772731295504,-0.1467430511351581,0.05024784461974656
4_NA_0," White, NA, 25 - 45",2742,0.11050328227571116,0.0037936246678499513,-0.014796800593328885,1.0355509028225995
4_NA_1," White, NA, Greater than 45",1736,0.19527649769585254,0.08856684008799133,0.02918578193653215,1.8299796107814208
4_NA_2," White, NA, Less than 25",1117,0.0026857654431512983,-0.1040238921647099,-0.1891672935594005,0.0251689069514308
2_0_0," Black,  Female, 25 - 45",165,0.012121212121212121,-0.09458844548664909,0.1199236155315086,0.11359058207979071
2_1_0," Black,  Male, 25 - 45",162,0.05555555555555555,-0.05115410205230565,-0.044782266821432604,0.5206235011990407
4_0_0," White,  Female, 25 - 45",784,0.058673469387755105,-0.0480361882201061,-0.08627793485608831,0.5498421670826604
4_0_1," White,  Female, Greater than 45",479,0.17118997912317327,0.06448032151531206,-7.638446849139724e-05,1.6042594734233488
4_0_2," White,  Female, Less than 25",460,0.0,-0.1067096576078612,-0.2800763844684914,0.0
4_1_0," White,  Male, 25 - 45",1958,0.13125638406537282,0.024546726457511617,-0.0003888844684914461,1.2300328480831269
4_1_1," White,  Male, Greater than 45",1257,0.20445505171042164,0.09774539410256043,0.033090875317985435,1.9159938874675915
4_1_2," White,  Male, Less than 25",657,0.0045662100456621,-0.1021434475621991,-0.13721924161134857,0.042790972701291015
